		WELL DATA SUMMARY														
		 														
	Well	BLMN 33-7														
	 	 	 	 												
	Sec Azim	335.0	 													
	Elev	4215.0	KB													
 	Coords:	North	258644.0	EAST			2351584									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
 	6970	22.0	0.0	345	93	36	6912	-2697	35.4	-9.0	127.4	-325.4	35.8	253.0	258771	2351258
	7000	22.2	0.0	345	28	11	6940	-2725	10.9	-2.9	138.3	-328.3	11.1	264.1	258782	2351255
 	7063	22.5	0.0	346	86	35	6998	-2783	34.1	-8.8	161.5	-334.3	34.6	287.6	258805	2351250
	7100	22.5	0.0	346	34	14	7033	-2818	13.7	-3.5	175.2	-337.7	13.9	301.5	258819	2351246
 	7153	22.4	0.0	345	83	34	7082	-2867	33.3	-8.6	194.8	-342.9	33.8	321.4	258839	2351241
	7200	22.6	0.0	345	43	18	7125	-2910	17.4	-4.6	212.1	-347.4	17.7	339.1	258856	2351236
 	7243	22.8	0.0	346	83	35	7165	-2950	33.5	-8.7	228.2	-351.6	34.0	355.4	258872	2351232
	7297	22.9	0.0	345	50	21	7215	-3000	20.3	-5.2	248.5	-356.8	20.6	376.0	258893	2351227
 	7300	22.9	0.0	345	53	22	7217	-3002	21.4	-5.5	249.7	-357.1	21.8	377.2	258894	2351227
 	7313	22.7	16.0	344	12	5	7229	-3014	4.9	-1.3	254.5	-358.4	5.0	382.1	258899	2351225
	7400	22.9	13.1	347	80	34	7309	-3094	32.7	-8.3	287.2	-366.8	33.1	415.3	258931	2351217
 	7402	22.9	13.0	347	82	34	7311	-3096	33.4	-8.5	287.9	-366.9	33.9	416.0	258932	2351217
 	7433	22.7	13.0	347	29	12	7340	-3125	11.7	-2.7	299.7	-369.6	11.7	427.8	258944	2351214
 	7492	21.9	0.0	347	55	22	7394	-3179	21.8	-5.0	321.5	-374.6	21.9	449.7	258965	2351209
	7500	21.9	0.0	347	7	3	7402	-3187	2.9	-0.7	324.4	-375.3	2.9	452.6	258968	2351209
 	7550	21.8	0.0	347	54	22	7448	-3233	21.0	-4.9	342.5	-379.5	21.1	470.8	258987	2351204
-120 BPH	7599	22.6	10.6	348	45	18	7494	-3279	18.1	-4.0	360.6	-383.4	18.1	488.8	259005	2351200
	7600	22.6	10.8	348	1	0	7495	-3280	0.4	-0.1	360.9	-383.5	0.4	489.2	259005	2351200
mrt=240	7661	23.5	24.0	350	102	43	7551	-3336	41.9	-8.6	384.4	-388.0	41.6	512.4	259028	2351196
	7700	23.7	16.5	350	36	16	7586	-3371	15.4	-2.8	399.7	-390.8	15.1	527.4	259044	2351193
mrt=230	7786	24.0	0.0	349	114	50	7665	-3450	49.5	-9.2	433.9	-397.2	48.7	561.1	259078	2351187
	7800	24.0	0.0	349	13	6	7678	-3463	5.6	-1.1	439.5	-398.3	5.5	566.6	259083	2351186
	7900	24.0	0.0	349	91	41	7769	-3554	39.9	-7.8	479.4	-406.0	39.5	606.1	259123	2351178
mrt=232	7950	24.0	0.0	349	150	67	7815	-3600	65.5	-12.7	499.4	-409.9	64.7	625.8	259143	2351174
	8000	23.9	0.0	349	46	20	7861	-3646	19.9	-3.8	519.3	-413.7	19.7	645.5	259163	2351170
 	8073	23.8	0.0	350	112	50	7927	-3712	48.9	-9.1	548.3	-419.0	48.2	674.0	259192	2351165
	8100	23.7	0.0	350	25	11	7952	-3737	10.7	-1.9	559.0	-420.9	10.5	684.5	259203	2351163
	8200	23.4	0.0	350	92	40	8044	-3829	39.3	-6.9	598.3	-427.8	38.6	723.1	259242	2351156
mrt=230	8219	23.3	0.0	350	134	58	8061	-3846	57.4	-10.1	605.8	-429.1	56.3	730.4	259250	2351155
	8251	23.3	0.0	350	163	71	8091	-3876	69.9	-12.3	618.2	-431.3	68.6	742.6	259262	2351152
	8300	21.7	0.0	352	45	19	8136	-3921	18.5	-3.0	636.7	-434.3	18.0	760.6	259281	2351150
	8384	19.1	0.0	355	124	48	8215	-4000	47.6	-6.3	665.9	-437.7	45.9	788.4	259310	2351146
 	8388	19.0	0.0	355	128	49	8218	-4003	49.0	-6.4	667.2	-437.8	47.1	789.7	259311	2351146
	8400	19.0	0.0	355	11	4	8230	-4015	3.9	-0.3	671.1	-438.1	3.7	793.3	259315	2351146
 	8456	19.0	0.0	355	64	22	8283	-4068	22.1	-1.9	689.2	-439.7	20.8	810.5	259333	2351144
 	8488	18.5	0.0	353	30	10	8313	-4098	10.2	-1.1	699.5	-440.8	9.7	820.2	259343	2351143
	8500	18.5	0.0	353	11	4	8324	-4109	3.8	-0.5	703.2	-441.2	3.6	823.8	259347	2351143
	8600	18.3	0.0	355	95	32	8419	-4204	31.4	-3.3	734.6	-444.5	29.8	853.6	259379	2351139
 	8615	18.3	0.0	355	121	40	8434	-4219	39.8	-4.2	739.3	-445.0	37.9	858.0	259383	2351139
 	8679	16.5	0.0	354	61	19	8495	-4280	19.0	-1.8	758.3	-446.8	18.0	876.1	259402	2351137
	8700	16.3	0.0	354	20	6	8515	-4300	5.9	-0.6	764.2	-447.4	5.6	881.7	259408	2351136
	8800	15.4	0.0	355	96	27	8611	-4396	27.2	-2.5	791.4	-449.9	25.7	907.4	259435	2351134
 	8876	14.8	0.0	356	190	53	8684	-4469	52.9	-4.6	811.1	-451.4	49.9	925.9	259455	2351132
	8900	15.2	0.0	356	23	6	8708	-4493	6.2	-0.4	817.3	-451.8	5.8	931.7	259461	2351132
LC on survey	8936	15.8	0.0	357	35	10	8742	-4527	9.6	-0.5	827.0	-452.4	8.9	940.6	259471	2351131
 	9040	17.8	0.0	359	157	46	8842	-4627	45.8	-2.0	857.0	-453.4	42.4	968.3	259501	2351130
 	9276	19.5	0.0	353	224	75	9066	-4851	75.2	-5.3	932.2	-458.7	70.4	1038.7	259576	2351125
	9435	19.4	0.0	353	150	53	9215	-5000	52.6	-6.5	984.8	-465.1	50.4	1089.1	259629	2351119
drift shot	9910	19.3	0.0	353	598	210	9664	-5449	208.8	-25.6	1140.9	-484.3	200.0	1238.7	259785	2351099
TD	9970	19.3	0.0	353	57	20	9720	-5505	19.6	-2.4	1160.6	-486.7	18.8	1257.5	259805	2351097
